run,deal_seed,hand,player,group,cumulative_bb
two-each-2,2026092412,800,trained-2,trained,-3325.75
two-each-2,2026092412,900,loose-aggressive,scripted,9184.87
two-each-2,2026092412,900,random-1,random,-1914.62
two-each-2,2026092412,900,random-2,random,-2871.25
two-each-2,2026092412,900,tight-passive,scripted,2522.88
two-each-2,2026092412,900,trained-1,trained,-4221.38
two-each-2,2026092412,900,trained-2,trained,-2700.5
two-each-2,2026092412,1000,loose-aggressive,scripted,10253.87
two-each-2,2026092412,1000,random-1,random,-1633.62
two-each-2,2026092412,1000,random-2,random,-3366.25
two-each-2,2026092412,1000,tight-passive,scripted,2605.38
two-each-2,2026092412,1000,trained-1,trained,-5158.38
two-each-2,2026092412,1000,trained-2,trained,-2701.0
two-each-2,2026092412,1100,loose-aggressive,scripted,10996.37
two-each-2,2026092412,1100,random-1,random,-1313.12
two-each-2,2026092412,1100,random-2,random,-3873.25
two-each-2,2026092412,1100,tight-passive,scripted,2976.88
two-each-2,2026092412,1100,trained-1,trained,-6046.88
two-each-2,2026092412,1100,trained-2,trained,-2740.0
two-each-2,2026092412,1200,loose-aggressive,scripted,12412.37
two-each-2,2026092412,1200,random-1,random,-1971.12
two-each-2,2026092412,1200,random-2,random,-3380.5
two-each-2,2026092412,1200,tight-passive,scripted,3136.38
two-each-2,2026092412,1200,trained-1,trained,-6756.13
two-each-2,2026092412,1200,trained-2,trained,-3441.0
two-each-2,2026092412,1300,loose-aggressive,scripted,13421.62
two-each-2,2026092412,1300,random-1,random,-3628.12
two-each-2,2026092412,1300,random-2,random,-3729.5
two-each-2,2026092412,1300,tight-passive,scripted,3016.38
two-each-2,2026092412,1300,trained-1,trained,-6070.38
two-each-2,2026092412,1300,trained-2,trained,-3010.0
two-each-2,2026092412,1400,loose-aggressive,scripted,12939.12
two-each-2,2026092412,1400,random-1,random,-3920.12
two-each-2,2026092412,1400,random-2,random,-3013.5
two-each-2,2026092412,1400,tight-passive,scripted,2969.38
two-each-2,2026092412,1400,trained-1,trained,-6601.88
two-each-2,2026092412,1400,trained-2,trained,-2373.0
two-each-2,2026092412,1500,loose-aggressive,scripted,12469.12
two-each-2,2026092412,1500,random-1,random,-4000.62
two-each-2,2026092412,1500,random-2,random,-1420.75
two-each-2,2026092412,1500,tight-passive,scripted,3251.13
two-each-2,2026092412,1500,trained-1,trained,-7308.13
two-each-2,2026092412,1500,trained-2,trained,-2990.75
two-each-2,2026092412,1600,loose-aggressive,scripted,13638.37
two-each-2,2026092412,1600,random-1,random,-5491.62
two-each-2,2026092412,1600,random-2,random,-2593.75
two-each-2,2026092412,1600,tight-passive,scripted,3976.13
two-each-2,2026092412,1600,trained-1,trained,-8445.88
two-each-2,2026092412,1600,trained-2,trained,-1083.25
two-each-2,2026092412,1700,loose-aggressive,scripted,13918.37
two-each-2,2026092412,1700,random-1,random,-4975.62
two-each-2,2026092412,1700,random-2,random,-3132.25
two-each-2,2026092412,1700,tight-passive,scripted,4387.13
two-each-2,2026092412,1700,trained-1,trained,-8685.88
two-each-2,2026092412,1700,trained-2,trained,-1511.75
two-each-2,2026092412,1800,loose-aggressive,scripted,15412.87
two-each-2,2026092412,1800,random-1,random,-5327.37
two-each-2,2026092412,1800,random-2,random,-3498.25
two-each-2,2026092412,1800,tight-passive,scripted,4466.13
two-each-2,2026092412,1800,trained-1,trained,-9239.38
two-each-2,2026092412,1800,trained-2,trained,-1814.0
two-each-2,2026092412,1900,loose-aggressive,scripted,16816.87
two-each-2,2026092412,1900,random-1,random,-6474.62
two-each-2,2026092412,1900,random-2,random,-3273.0
two-each-2,2026092412,1900,tight-passive,scripted,4373.13
two-each-2,2026092412,1900,trained-1,trained,-9350.88
two-each-2,2026092412,1900,trained-2,trained,-2091.5
two-each-2,2026092412,2000,loose-aggressive,scripted,17726.87
two-each-2,2026092412,2000,random-1,random,-5839.12
two-each-2,2026092412,2000,random-2,random,-3484.25
two-each-2,2026092412,2000,tight-passive,scripted,4438.63
two-each-2,2026092412,2000,trained-1,trained,-9710.88
two-each-2,2026092412,2000,trained-2,trained,-3131.25
two-each-2,2026092412,2100,loose-aggressive,scripted,17471.87
two-each-2,2026092412,2100,random-1,random,-5875.62
two-each-2,2026092412,2100,random-2,random,-3305.5
two-each-2,2026092412,2100,tight-passive,scripted,4596.63
two-each-2,2026092412,2100,trained-1,trained,-9464.38
two-each-2,2026092412,2100,trained-2,trained,-3423.0
two-each-2,2026092412,2200,loose-aggressive,scripted,18113.87
two-each-2,2026092412,2200,random-1,random,-6662.87
two-each-2,2026092412,2200,random-2,random,-4214.0
two-each-2,2026092412,2200,tight-passive,scripted,4964.63
two-each-2,2026092412,2200,trained-1,trained,-8974.63
two-each-2,2026092412,2200,trained-2,trained,-3227.0
two-each-2,2026092412,2300,loose-aggressive,scripted,20459.87
two-each-2,2026092412,2300,random-1,random,-6896.87
two-each-2,2026092412,2300,random-2,random,-3852.25
two-each-2,2026092412,2300,tight-passive,scripted,4805.63
two-each-2,2026092412,2300,trained-1,trained,-9919.38
two-each-2,2026092412,2300,trained-2,trained,-4597.0
two-each-2,2026092412,2400,loose-aggressive,scripted,21884.37
two-each-2,2026092412,2400,random-1,random,-8586.87
two-each-2,2026092412,2400,random-2,random,-2865.75
two-each-2,2026092412,2400,tight-passive,scripted,5018.63
two-each-2,2026092412,2400,trained-1,trained,-10746.38
two-each-2,2026092412,2400,trained-2,trained,-4704.0
two-each-2,2026092412,2500,loose-aggressive,scripted,23209.12
two-each-2,2026092412,2500,random-1,random,-8432.62
two-each-2,2026092412,2500,random-2,random,-3457.25
two-each-2,2026092412,2500,tight-passive,scripted,5204.63
two-each-2,2026092412,2500,trained-1,trained,-11804.88
two-each-2,2026092412,2500,trained-2,trained,-4719.0
two-each-2,2026092412,2600,loose-aggressive,scripted,23037.87
two-each-2,2026092412,2600,random-1,random,-9100.12
two-each-2,2026092412,2600,random-2,random,-3198.5
two-each-2,2026092412,2600,tight-passive,scripted,5395.13
two-each-2,2026092412,2600,trained-1,trained,-11612.88
two-each-2,2026092412,2600,trained-2,trained,-4521.5
two-each-2,2026092412,2700,loose-aggressive,scripted,24724.37
two-each-2,2026092412,2700,random-1,random,-10812.37
two-each-2,2026092412,2700,random-2,random,-3167.25
two-each-2,2026092412,2700,tight-passive,scripted,5478.88
two-each-2,2026092412,2700,trained-1,trained,-12002.38
two-each-2,2026092412,2700,trained-2,trained,-4221.25
two-each-2,2026092412,2800,loose-aggressive,scripted,26893.87
two-each-2,2026092412,2800,random-1,random,-11449.37
two-each-2,2026092412,2800,random-2,random,-4733.75
two-each-2,2026092412,2800,tight-passive,scripted,6124.88
two-each-2,2026092412,2800,trained-1,trained,-12458.38
two-each-2,2026092412,2800,trained-2,trained,-4377.25
two-each-2,2026092412,2900,loose-aggressive,scripted,28087.46
two-each-2,2026092412,2900,random-1,random,-12574.04
two-each-2,2026092412,2900,random-2,random,-4922.25
two-each-2,2026092412,2900,tight-passive,scripted,6215.38
two-each-2,2026092412,2900,trained-1,trained,-12779.63
two-each-2,2026092412,2900,trained-2,trained,-4026.92
two-each-2,2026092412,3000,loose-aggressive,scripted,30580.46
two-each-2,2026092412,3000,random-1,random,-12777.54
two-each-2,2026092412,3000,random-2,random,-6247.25
two-each-2,2026092412,3000,tight-passive,scripted,6399.88
two-each-2,2026092412,3000,trained-1,trained,-13710.63
two-each-2,2026092412,3000,trained-2,trained,-4244.92
two-each-3,2026092413,100,loose-aggressive,scripted,619.0
two-each-3,2026092413,100,random-1,random,-906.75
two-each-3,2026092413,100,random-2,random,-210.0
two-each-3,2026092413,100,tight-passive,scripted,-110.0
two-each-3,2026092413,100,trained-1,trained,105.25
two-each-3,2026092413,100,trained-2,trained,502.5
two-each-3,2026092413,200,loose-aggressive,scripted,2663.25
two-each-3,2026092413,200,random-1,random,-2057.0
two-each-3,2026092413,200,random-2,random,-1486.0
two-each-3,2026092413,200,tight-passive,scripted,233.0
two-each-3,2026092413,200,trained-1,trained,318.75
two-each-3,2026092413,200,trained-2,trained,328.0
two-each-3,2026092413,300,loose-aggressive,scripted,3208.75
two-each-3,2026092413,300,random-1,random,-2445.5
two-each-3,2026092413,300,random-2,random,-1375.5
two-each-3,2026092413,300,tight-passive,scripted,202.25
two-each-3,2026092413,300,trained-1,trained,295.25
two-each-3,2026092413,300,trained-2,trained,114.75
two-each-3,2026092413,400,loose-aggressive,scripted,3850.25
two-each-3,2026092413,400,random-1,random,-2944.0
two-each-3,2026092413,400,random-2,random,-1550.5
two-each-3,2026092413,400,tight-passive,scripted,452.75
two-each-3,2026092413,400,trained-1,trained,218.75
two-each-3,2026092413,400,trained-2,trained,-27.25
two-each-3,2026092413,500,loose-aggressive,scripted,3112.25
two-each-3,2026092413,500,random-1,random,-1836.25
two-each-3,2026092413,500,random-2,random,-1563.75
two-each-3,2026092413,500,tight-passive,scripted,523.25
two-each-3,2026092413,500,trained-1,trained,-505.25
two-each-3,2026092413,500,trained-2,trained,269.75
two-each-3,2026092413,600,loose-aggressive,scripted,4804.5
two-each-3,2026092413,600,random-1,random,-2910.75
two-each-3,2026092413,600,random-2,random,-1481.75
two-each-3,2026092413,600,tight-passive,scripted,583.0
two-each-3,2026092413,600,trained-1,trained,-1327.25
two-each-3,2026092413,600,trained-2,trained,332.25
two-each-3,2026092413,700,loose-aggressive,scripted,6052.5
two-each-3,2026092413,700,random-1,random,-4239.25
two-each-3,2026092413,700,random-2,random,-1176.75
two-each-3,2026092413,700,tight-passive,scripted,478.5
two-each-3,2026092413,700,trained-1,trained,-1238.25
